CPU_Usage
2.7
5.2
5.0
2.7
3.3
3.7
3.0
3.7
4.0
1.0
4.1
6.5
4.4
3.5
2.3
3.5
2.3
6.5
3.3
4.5
17.0
3.1
2.3
13.7
2.9
2.9
2.4
1.8
2.9
2.5
3.7
4.1
1.8
3.5
0.4
5.6
2.7
6.1
1.6
2.1
7.3
4.9
1.4
2.6
3.1
5.0
1.6
2.9
2.8
2.9
5.7
2.5
1.4
4.1
5.9
4.5
3.1
4.0
2.2
1.7
